"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"FA(16:2)_[M-H]1-"	251.2017	0	-0.000799999999998136	-0.000500000000016598	-0.000600000000019918	-0.00140000000001805	-0.000400000000013279	-0.00130000000001473	-0.000400000000013279	-0.00140000000001805	-0.00120000000001141	-0.00100000000000477	9.99999999748979e-05	-0.00200000000000955	0
"FA(16:1)_[M-H]1-"	253.2173	-0.000400000000013279	-0.000500000000016598	-0.00110000000000809	-0.00140000000001805	-0.00159999999999627	-0.00149999999999295	-0.00140000000001805	-0.00130000000001473	-0.00149999999999295	-0.00159999999999627	-0.000799999999998136	-0.000400000000013279	-0.00130000000001473	-0.00110000000000809
"FA(16:0)_[M-H]1-"	255.233	-0.000399999999984857	-0.000499999999988177	-0.00100000000000477	-0.00119999999998299	-0.00129999999998631	-0.00129999999998631	-0.00119999999998299	-0.00100000000000477	-0.00129999999998631	-0.00139999999998963	-0.000599999999991496	-0.000399999999984857	-0.00119999999998299	-0.00100000000000477
"FA(15:0)-OH_[M-H]1-"	257.2122	0	0	-0.00180000000000291	-0.000800000000026557	-0.000499999999988177	-0.00139999999998963	-0.00139999999998963	-0.000400000000013279	-0.000600000000019918	-0.00139999999998963	-0.000600000000019918	-0.00159999999999627	-0.000200000000006639	0
"OCT(C16H26O3)_[M-H]1-"	265.1809	-0.000699999999994816	-0.000699999999994816	-0.00119999999998299	-0.00139999999998963	-0.00139999999998963	-0.00149999999996453	-0.00139999999998963	-0.00110000000000809	-0.00149999999996453	-0.00149999999996453	-0.000799999999969714	-0.000699999999994816	-0.00130000000001473	-0.00110000000000809
"FA(17:2)_[M-H]1-"	265.2173	0	0	0	0.00280000000003611	0	0	-0.00139999999998963	-0.000499999999988177	0	-0.000799999999969714	0	0	0	0
"OCT(C16H28O3)_[M-H]1-"	267.1966	0	-0.000499999999988177	-0.00139999999998963	-0.00150000000002137	-0.00190000000003465	-0.00139999999998963	-0.00159999999999627	-0.00130000000001473	-0.00150000000002137	-0.00200000000000955	-0.000900000000001455	0	-0.00180000000000291	0
"FA(17:1)_[M-H]1-"	267.233	-0.000699999999994816	-0.000799999999969714	-0.00139999999998963	-0.00150000000002137	-0.00159999999999627	-0.00150000000002137	-0.00139999999998963	-0.00130000000001473	-0.00159999999999627	-0.00159999999999627	-0.000799999999969714	-0.000900000000001455	-0.00139999999998963	-0.00139999999998963
"2H-IS_FA_15_[M-H]1-"	268.3884	0	0.000900000000001455	0.000400000000013279	9.99999999748979e-05	9.99999999748979e-05	9.99999999748979e-05	0.000200000000006639	0.000400000000013279	0	-0.000100000000031741	0.000599999999963075	0	9.99999999748979e-05	0.000299999999981537
"FA(16:1)-OH_[M-H]1-"	269.2122	-0.000800000000026557	-0.000900000000001455	-0.00139999999998963	-0.00159999999999627	-0.00170000000002801	-0.00159999999999627	-0.00159999999999627	-0.00139999999998963	-0.00170000000002801	-0.00180000000000291	-0.00110000000000809	-0.000600000000019918	-0.00150000000002137	-0.00130000000001473
