mz	name
573.3034	LPI_16:0_[M+H]1+
573.3527	PA_25:0_[M+Na]1+
573.4877	DG_34:3_[M+H-H2O]1+
574.2987	LPI_15:1_[M+NH4]1+
574.3115	LPS_20:1_[M+Na]1+
574.3139	LPS_22:4_[M+H]1+ / LPG_22:6_[M+NH4]1+
574.3351	LPI-P_16:0_[M+NH4]1+
574.5558	Cer_38:2_[M+H-H2O]1+
575.5034	DG_34:2_[M+H-H2O]1+
576.3143	LPI_15:0_[M+NH4]1+
576.3272	LPS_20:0_[M+Na]1+
576.3507	LPI-O_16:0_[M+NH4]1+
576.4024	LPC_22:2_[M+H]1+
576.4623	DG_32:5_[M+NH4]1+
576.5714	Cer_38:1_[M+H-H2O]1+
577.3112	PG_20:0_[M+Na]1+
577.3476	LPG_21:0_[M+Na]1+
577.4439	TG_30:0_[M+Na]1+
577.519	DG_34:1_[M+H-H2O]1+
578.3452	LPS_22:2_[M+H]1+ / LPG_22:4_[M+NH4]1+
578.3816	PC_21:1_[M+H]1+
578.418	LPC_22:1_[M+H]1+
578.4779	DG_32:4_[M+NH4]1+
578.5507	Cer_37:2_[M+H]1+
579.2541	LPI_15:1_[M+Na]1+
579.2693	LPG_22:6_[M+Na]1+
579.2905	LPI-P_16:0_[M+Na]1+
579.5347	DG_34:0_[M+H-H2O]1+
580.3609	LPS_22:1_[M+H]1+
580.3973	PC_21:0_[M+H]1+ / PE_24:0_[M+H]1+ / PA_26:1_[M+NH4]1+
580.4337	PC-O_22:0_[M+H]1+
580.4936	DG_32:3_[M+NH4]1+
580.5663	Cer_37:1_[M+H]1+
581.2697	LPI_15:0_[M+Na]1+
581.3061	LPI-O_16:0_[M+Na]1+
581.4564	DG_35:6_[M+H-H2O]1+
582.3765	LPS_22:0_[M+H]1+ / LPG_22:2_[M+NH4]1+
582.4129	PA_26:0_[M+NH4]1+
582.5092	DG_32:2_[M+NH4]1+
583.2878	LPI_17:2_[M+H]1+
583.3006	LPG_22:4_[M+Na]1+
583.4721	DG_35:5_[M+H-H2O]1+
584.3922	LPG_22:1_[M+NH4]1+
584.5249	DG_32:1_[M+NH4]1+
585.3034	LPI_17:1_[M+H]1+
585.3398	LPI-P_18:0_[M+H]1+
585.3527	PA_26:1_[M+Na]1+
585.4877	DG_35:4_[M+H-H2O]1+
586.4078	LPG_22:0_[M+NH4]1+
586.5405	DG_32:0_[M+NH4]1+
586.5558	CE_12:0_[M+NH4]1+
587.3191	LPI_17:0_[M+H]1+
587.3319	LPG_22:2_[M+Na]1+
587.3555	LPI-O_18:0_[M+H]1+
587.3683	PA_26:0_[M+Na]1+
587.5034	DG_35:3_[M+H-H2O]1+
588.3143	LPI_16:1_[M+NH4]1+
588.5714	Cer_39:2_[M+H-H2O]1+
589.3476	LPG_22:1_[M+Na]1+
589.519	DG_35:2_[M+H-H2O]1+
590.3065	PS_20:0_[M+Na]1+
590.33	LPI_16:0_[M+NH4]1+
590.3428	LPS_21:0_[M+Na]1+
590.4779	DG_33:5_[M+NH4]1+
590.5507	Cer_38:3_[M+H]1+
590.5871	Cer_39:1_[M+H-H2O]1+
591.3632	LPG_22:0_[M+Na]1+
591.4408	DG_36:8_[M+H-H2O]1+
591.5112	CE_12:0_[M+Na]1+
591.5347	DG_35:1_[M+H-H2O]1+
592.2646	LPS_22:6_[M+Na]1+
592.3973	PC_22:1_[M+H]1+
592.4936	DG_33:4_[M+NH4]1+
592.5663	Cer_38:2_[M+H]1+
593.2697	LPI_16:1_[M+Na]1+
593.2721	LPI_18:4_[M+H]1+
593.4564	DG_36:7_[M+H-H2O]1+
593.5503	DG_35:0_[M+H-H2O]1+
594.4129	PC_22:0_[M+H]1+ / PE_25:0_[M+H]1+ / PA_27:1_[M+NH4]1+
594.4857	LPC-2O_24:0_[M+H]1+
594.5092	DG_33:3_[M+NH4]1+
594.582	Cer_38:1_[M+H]1+
595.2854	LPI_16:0_[M+Na]1+
595.2878	LPI_18:3_[M+H]1+
595.4721	DG_36:6_[M+H-H2O]1+
596.2959	LPS_22:4_[M+Na]1+
596.4286	PA_27:0_[M+NH4]1+
596.5249	DG_33:2_[M+NH4]1+
597.3034	LPI_18:2_[M+H]1+
597.4877	DG_36:5_[M+H-H2O]1+
598.5405	DG_33:1_[M+NH4]1+
599.3191	LPI_18:1_[M+H]1+
599.3683	PA_27:1_[M+Na]1+
599.5034	DG_36:4_[M+H-H2O]1+
600.3143	LPI_17:2_[M+NH4]1+
600.3272	LPS_22:2_[M+Na]1+
600.5562	DG_33:0_[M+NH4]1+
601.3347	LPI_18:0_[M+H]1+
601.384	PA_27:0_[M+Na]1+
601.519	DG_36:3_[M+H-H2O]1+
602.33	LPI_17:1_[M+NH4]1+
602.3428	LPS_22:1_[M+Na]1+
602.3664	LPI-P_18:0_[M+NH4]1+
602.4779	DG_34:6_[M+NH4]1+
602.5871	Cer_40:2_[M+H-H2O]1+
603.5347	DG_36:2_[M+H-H2O]1+
604.3456	LPI_17:0_[M+NH4]1+
604.3585	LPS_22:0_[M+Na]1+
604.382	LPI-O_18:0_[M+NH4]1+
604.4936	DG_34:5_[M+NH4]1+
604.6027	Cer_40:1_[M+H-H2O]1+
604.688	2H-IS_PG_U
605.2697	LPI_17:2_[M+Na]1+
605.5503	DG_36:1_[M+H-H2O]1+
605.6941	2H-IS_PG_U
605.6949	2H-IS_PA_U
605.6951	2H-IS_PI_U
606.4129	PE_26:1_[M+H]1+ / PA_28:2_[M+NH4]1+
606.5092	DG_34:4_[M+NH4]1+
606.582	Cer_39:2_[M+H]1+
606.7002	2H-IS_PG_U
606.701	2H-IS_PA_U
606.7012	2H-IS_PI_U
607.2854	LPI_17:1_[M+Na]1+
607.3218	LPI-P_18:0_[M+Na]1+
607.4721	DG_37:7_[M+H-H2O]1+
607.566	DG_36:0_[M+H-H2O]1+
607.7059	2H-IS_PG_U
607.7067	2H-IS_PA_U
607.707	2H-IS_PI_U
608.4286	PE_26:0_[M+H]1+ / PA_28:1_[M+NH4]1+
608.465	LPC_24:0_[M+H]1+
608.5249	DG_34:3_[M+NH4]1+
608.5976	Cer_39:1_[M+H]1+
608.7117	2H-IS_PG_U
608.7125	2H-IS_PA_U
608.7127	2H-IS_PI_U
609.301	LPI_17:0_[M+Na]1+
609.3374	LPI-O_18:0_[M+Na]1+
609.4877	DG_37:6_[M+H-H2O]1+
609.716	2H-IS_PG_U
609.7169	2H-IS_PA_U
609.7171	2H-IS_PI_U
610.2987	LPI_18:4_[M+NH4]1+
610.4442	PA_28:0_[M+NH4]1+
610.5405	DG_34:2_[M+NH4]1+
610.7196	2H-IS_PG_U
610.7206	2H-IS_PI_U
611.3683	PA_28:2_[M+Na]1+
611.3919	PG_24:0_[M+H]1+
611.5034	DG_37:5_[M+H-H2O]1+
612.3143	LPI_18:3_[M+NH4]1+
612.5562	DG_34:1_[M+NH4]1+
612.5714	CE_14:1_[M+NH4]1+
613.3347	LPI_19:1_[M+H]1+
613.3711	LPI-P_20:0_[M+H]1+
613.384	PA_28:1_[M+Na]1+
613.519	DG_37:4_[M+H-H2O]1+
614.33	LPI_18:2_[M+NH4]1+
614.5718	DG_34:0_[M+NH4]1+
614.5871	CE_14:0_[M+NH4]1+
615.2541	LPI_18:4_[M+Na]1+
615.3504	LPI_19:0_[M+H]1+
615.3868	LPI-O_20:0_[M+H]1+
615.3996	PA_28:0_[M+Na]1+
615.5347	DG_37:3_[M+H-H2O]1+
616.3456	LPI_18:1_[M+NH4]1+
616.4936	DG_35:6_[M+NH4]1+
616.6027	Cer_41:2_[M+H-H2O]1+
617.2697	LPI_18:3_[M+Na]1+
617.4564	DG_38:9_[M+H-H2O]1+
617.5268	CE_14:1_[M+Na]1+
617.5503	DG_37:2_[M+H-H2O]1+
618.3613	LPI_18:0_[M+NH4]1+
618.5092	DG_35:5_[M+NH4]1+
618.6184	Cer_41:1_[M+H-H2O]1+
619.2854	LPI_18:2_[M+Na]1+
619.2878	LPI_20:5_[M+H]1+
619.4721	DG_38:8_[M+H-H2O]1+
619.5425	CE_14:0_[M+Na]1+
619.566	DG_37:1_[M+H-H2O]1+
620.4286	PE_27:1_[M+H]1+ / PA_29:2_[M+NH4]1+
620.465	PE-P_28:0_[M+H]1+
620.5249	DG_35:4_[M+NH4]1+
620.5976	Cer_40:2_[M+H]1+
621.301	LPI_18:1_[M+Na]1+
621.3034	LPI_20:4_[M+H]1+
621.4877	DG_38:7_[M+H-H2O]1+
621.5816	DG_37:0_[M+H-H2O]1+
