mz	name
469.2572	LPG_15:0_[M-H]1-
469.2936	LPG-O_16:0_[M-H]1-
470.2524	PC-O_10:0_[M+OAC]1-
472.2236	PC-O_12:1_[M+Cl]1-
472.247	LPE_18:4_[M-H]1-
474.2393	LPC_12:0_[M+Cl]1-
474.2626	LPE_18:3_[M-H]1-
474.2757	LPC-2O_13:0_[M+Cl]1-
476.2783	LPE_18:2_[M-H]1-
476.3146	LPE-P_19:1_[M-H]1-
478.2939	LPE_18:1_[M-H]1-
478.4266	Cer_30:2_[M-H]1-
478.5528	2H-IS_LPC_[M+OAC]1-
479.2779	PA_20:0_[M-H]1-
479.5588	2H-IS_LPC_[M+OAC]1-
480.156	PC_12:2_[M+Cl]1-
480.2368	LPS_15:1_[M-H]1-
480.2732	LPS-P_16:0_[M-H]1-
480.3096	LPE_18:0_[M-H]1-
480.4422	Cer_30:1_[M-H]1-
480.5684	2H-IS_LPC_[M+OAC]1-
481.2572	LPG_16:1_[M-H]1-
481.5684	2H-IS_LPC_[M+OAC]1-
482.2524	LPS_15:0_[M-H]1-
482.2888	LPS-O_16:0_[M-H]1-
482.2955	BA(TLCA)_[M-H]1-
483.2728	LPG_16:0_[M-H]1-
484.2317	PC_10:0_[M+OAC]1-
484.2681	LPC_11:0_[M+OAC]1-
484.3045	LPC-2O_12:0_[M+OAC]1-
486.2393	PC-O_13:1_[M+Cl]1-
486.2757	LPC-O_14:1_[M+Cl]1-
488.2186	PC_12:0_[M+Cl]1-
488.2549	LPC_13:0_[M+Cl]1-
488.2913	LPC-2O_14:0_[M+Cl]1-
492.3096	LPE_19:1_[M-H]1-
492.3459	LPE-P_20:0_[M-H]1-
493.2572	LPG_17:2_[M-H]1-
494.2524	LPS_16:1_[M-H]1-
494.3252	LPE_19:0_[M-H]1-
494.3616	LPE-O_20:0_[M-H]1-
495.2728	LPG_17:1_[M-H]1-
495.3092	LPG-P_18:0_[M-H]1-
496.2681	PC-O_12:1_[M+OAC]1- / LPS_16:0_[M-H]1-
497.2521	PG_16:0_[M-H]1-
497.2885	LPG_17:0_[M-H]1-
497.3249	LPG-O_18:0_[M-H]1-
498.2626	LPE_20:5_[M-H]1-
498.2837	LPC_12:0_[M+OAC]1-
498.2904	BA(TDCA)_[M-H]1-
498.3201	LPC-2O_13:0_[M+OAC]1-
500.2549	LPC_14:1_[M+Cl]1-
500.2783	LPE_20:4_[M-H]1-
500.2913	LPC-P_15:0_[M+Cl]1-
502.2706	PC-O_14:0_[M+Cl]1-
502.2939	LPE_20:3_[M-H]1-
502.307	LPC-2O_15:0_[M+Cl]1-
503.2415	LPG_18:4_[M-H]1-
504.2004	PC_12:2_[M+OAC]1-
504.3096	LPE_20:2_[M-H]1-
504.4422	Cer_32:3_[M-H]1-
505.2572	LPG_18:3_[M-H]1-
505.4262	FAHFA_POHPO_[M-H]1-
506.2524	LPS_17:2_[M-H]1-
506.3252	LPE_20:1_[M-H]1-
506.4579	Cer_32:2_[M-H]1-
507.2728	LPG_18:2_[M-H]1-
507.4419	FAHFA_PAHPO_[M-H]1-
508.2681	LPS_17:1_[M-H]1-
508.3045	LPS-P_18:0_[M-H]1-
508.3409	LPE_20:0_[M-H]1-
508.4735	Cer_32:1_[M-H]1-
509.2885	LPG_18:1_[M-H]1-
509.4575	FAHFA_PAHPA_[M-H]1-
510.2474	PS_16:0_[M-H]1-
510.2837	PC-O_13:1_[M+OAC]1- / LPS_17:0_[M-H]1-
510.3201	LPC-O_14:1_[M+OAC]1- / LPS-O_18:0_[M-H]1-
511.3041	LPG_18:0_[M-H]1-
512.263	PC_12:0_[M+OAC]1-
512.2994	LPC_13:0_[M+OAC]1-
512.3358	LPC-2O_14:0_[M+OAC]1-
514.2706	LPC_15:1_[M+Cl]1-
514.2853	BA(TCA)_[M-H]1-
514.307	LPC-O_16:1_[M+Cl]1-
514.4032	Cer_30:2_[M+Cl]1-
515.2263	LPI_12:0_[M-H]1-
516.2368	LPS_18:4_[M-H]1-
516.2499	PC_14:0_[M+Cl]1-
516.2862	LPC_15:0_[M+Cl]1-
516.3226	LPC-2O_16:0_[M+Cl]1-
516.4189	Cer_30:1_[M+Cl]1-
518.2524	LPS_18:3_[M-H]1-
520.2681	LPS_18:2_[M-H]1-
520.4735	Cer_33:2_[M-H]1-
522.2837	LPS_18:1_[M-H]1-
522.3201	PE_20:0_[M-H]1-
522.3565	LPE_21:0_[M-H]1-
522.4892	Cer_33:1_[M-H]1-
523.3041	LPG_19:1_[M-H]1-
523.3405	LPG-P_20:0_[M-H]1-
524.2783	LPE_22:6_[M-H]1-
524.2994	LPC_14:1_[M+OAC]1- / LPS_18:0_[M-H]1-
524.3358	LPC-P_15:0_[M+OAC]1-
525.3198	LPG_19:0_[M-H]1-
525.3562	LPG-O_20:0_[M-H]1-
526.315	PC-O_14:0_[M+OAC]1-
526.3514	LPC-2O_15:0_[M+OAC]1-
528.2862	LPC_16:1_[M+Cl]1-
528.3096	LPE_22:4_[M-H]1-
528.3226	LPC-P_17:0_[M+Cl]1-
529.2419	LPI_13:0_[M-H]1-
529.2572	LPG_20:5_[M-H]1-
530.3019	PC-O_16:0_[M+Cl]1-
